dat1,dat2,dat3,dat4,dat5,dat6,clase
112.935546875,122.857421875,136.9599609375,58.98375824258469,59.3730853605257,58.57693390692256,cat
80.015625,89.0380859375,93.9541015625,66.15861732597179,65.53718465801582,66.00445980118263,cat
83.4677734375,110.13671875,118.3369140625,50.01975133833304,49.569798282153606,45.09502515357974,cat
109.01953125,123.2099609375,119.462890625,69.99593744750672,76.08461738316244,65.83656811392349,cat
112.8076171875,111.0859375,102.6181640625,69.65518519673144,70.14025038536072,71.77143151006766,dog
58.677734375,66.771484375,67.8974609375,53.77635302683647,54.36329370525788,52.98666025924036,cat
104.154296875,108.435546875,108.4892578125,67.05084664808018,62.05705340285404,60.56448237399877,cat
90.0830078125,93.068359375,91.41015625,37.609812449885524,33.5066634995317,30.65358574009876,dog
86.3291015625,121.09375,129.4765625,67.45732224876748,68.19168897536194,64.83077006760442,cat
94.3046875,102.916015625,107.8935546875,49.317578729874235,56.99061718059172,59.90490019883972,dog
111.44921875,120.4404296875,132.5595703125,43.3106664404353,42.85099052388251,43.636396772108355,cat
43.4150390625,45.9443359375,57.4140625,45.21263357474434,44.58265483850918,49.220728506860745,cat
132.021484375,149.94140625,155.5419921875,57.43559170646395,46.611703076024384,44.3366492986467,dog
58.4833984375,59.9208984375,60.703125,48.005205180148145,49.867506023515055,50.67458750063364,cat
50.087890625,59.677734375,51.9931640625,61.114391412645496,58.17416983070702,58.19329784612192,dog
92.6630859375,114.98046875,97.927734375,63.0553511545768,57.309173920108755,64.24260241599373,dog
130.6318359375,130.048828125,134.59375,33.77158167247403,31.092785138826162,33.24534448140822,dog
126.3310546875,130.6904296875,142.02734375,63.533999667354365,42.88120475113915,26.254561255034066,dog
93.205078125,108.7734375,120.9169921875,68.3809050637504,59.41869640048992,58.173735821163866,dog
106.701171875,124.9560546875,149.9853515625,57.68411893018484,67.42188059429972,73.92506222172409,cat
104.4111328125,98.525390625,100.369140625,51.602559373280954,46.54667663019737,43.09612331259013,dog
98.431640625,109.65234375,116.041015625,57.01844218207693,58.19626204819203,59.657406331640885,cat
104.9697265625,125.1083984375,147.0888671875,46.31945862789722,53.55960982369315,60.58185411437558,dog
68.8544921875,72.6689453125,74.46484375,64.66004338298113,65.97555753350163,67.46540443285052,cat
131.9658203125,131.1142578125,133.845703125,69.93392391794887,66.76639569116924,65.809188107356,cat
80.73046875,96.111328125,100.3359375,55.57585266804526,58.72138023474571,59.79437778542472,cat
119.0380859375,119.5615234375,131.0986328125,86.31025700068251,87.3460259320173,84.62839864670605,cat
76.11328125,83.513671875,93.2392578125,59.04041302771686,53.17416666558898,47.87857344117155,dog
138.8203125,135.251953125,150.2626953125,81.43431580437908,77.10328779223882,80.32770001444266,dog
